anime_id,score,watching_status,watched_episodes
16512,10,1,3
15699,9,1,1
16498,10,1,12
34866,8,1,22
11759,9,2,24
9989,10,2,11
11433,10,2,12
11111,10,2,12
11701,7,2,1
9919,9,2,25
11266,9,2,1
5081,9,2,15
288,8,2,51
1669,8,2,51
1668,9,2,52
12079,9,2,1
7059,10,2,1
11285,10,2,8
1689,9,2,3
14741,10,2,12
6880,7,2,12
6746,8,2,24
12471,10,2,24
356,6,2,24
10087,9,2,13
11741,9,2,12
484,10,2,1
10793,9,2,22
12419,7,2,1
13161,6,2,12
11785,9,2,12
10408,10,2,1
431,10,2,1
12189,8,2,22
11013,10,2,12
14467,10,2,13
5680,8,2,13
9617,9,2,1
7054,10,2,26
10298,10,2,1
9366,9,2,1
18679,10,2,24
12175,6,2,12
11887,10,2,13
237,10,2,50
1631,9,2,1
13731,8,2,1
4246,6,2,1
9756,10,2,12
10721,10,2,24
10620,8,2,26
12119,10,2,12
10165,10,2,26
8857,9,2,1
10161,2,2,11
8795,9,2,13
10588,10,2,25
13587,7,2,1
527,8,2,276
12531,10,2,12
11499,7,2,12
199,10,2,1
11751,10,2,13
15793,10,2,13
3470,9,2,24
9253,9,2,24
11757,9,2,25
16417,10,2,12
13333,10,2,13
9941,6,2,25
6213,10,2,24
16049,10,2,24
9063,10,2,1
9047,10,2,1
8023,10,2,2
4654,10,2,24
8937,10,2,24
5955,10,2,2
10249,10,2,2
14227,10,2,13
523,10,2,1
4224,8,2,25
11553,9,2,1
6127,7,2,4
12883,10,2,12
10798,9,2,11
11531,8,2,1
3457,9,2,13
4752,6,2,13
481,9,2,224
1894,10,2,1
10495,10,2,12
12403,10,2,12
14345,7,3,3
11703,8,3,2
12549,7,3,6
10357,8,3,5
7791,8,3,7
13655,8,3,3
15051,9,3,6
14513,10,3,1
11021,0,3,0
11933,8,3,4
11227,4,3,2
13759,8,3,1
14515,9,3,7
13125,10,3,2
3588,8,3,21
14289,10,3,9
14075,10,3,2
10490,3,4,2
6702,4,4,14
12461,5,4,1
1604,5,4,10
16353,10,4,1
2034,5,4,17
12815,4,4,3
16201,0,6,0
15085,0,6,0
11737,0,6,0
15133,0,6,0
13535,0,6,0
10719,0,6,0
11241,0,6,0
5356,0,6,0
10012,0,6,0
3087,0,6,0
2167,0,6,0
8888,0,6,0
1575,0,6,0
2904,0,6,0
15109,0,6,0
16592,0,6,0
11843,0,6,0
12893,0,6,0
10418,0,6,0
1535,0,6,0
14073,0,6,0
121,0,6,0
5114,0,6,0
4725,0,6,0
129,0,6,0
9289,0,6,0
14653,0,6,0
1852,0,6,0
3604,0,6,0
7062,0,6,0
11239,0,6,0
13185,0,6,0
9734,0,6,0
6862,0,6,0
16782,0,6,0
10456,0,6,0
12487,0,6,0
1887,0,6,0
4472,0,6,0
11977,0,6,0
11979,0,6,0
11981,0,6,0
512,0,6,0
5030,0,6,0
4087,0,6,0
12503,0,6,0
4081,0,6,0
10379,0,6,0
11665,0,6,0
13585,0,6,0
10807,0,6,0
8769,0,6,0
14749,0,6,0
5530,0,6,0
6896,0,6,0
14407,0,6,0
14267,0,6,0
13601,0,6,0
13599,0,6,0
130,0,6,0
131,0,6,0
13055,0,6,0
5909,0,6,0
2923,0,6,0
11577,0,6,0
10863,0,6,0
36432,0,6,0
11743,0,6,0
14283,0,6,0
14813,0,6,0
12665,0,6,0
5300,0,6,0
