MAL_ID	Name	Score	Genders	English name	Japanese name	Type	Episodes	Aired	Premiered	Producers	Licensors	Studios	Source	Duration	Rating	Ranked	Popularity	Members	Favorites	Watching	Completed	On-Hold	Dropped	Plan to Watch	Score-10	Score-9	Score-8	Score-7	Score-6	Score-5	Score-4	Score-3	Score-2	Score-1	Theme	Demographic	Themes	Genre	Spanish	French	German	Demographics	Previewed
16	Hachimitsu to Clover		Comedy, Drama, Romance, Adult Cast, Love Polygon, Visual Arts, Josei	Honey and Clover	ハチミツとクローバー	TV	24	Apr 15, 2005 to Sep 27, 2005	Spring 2005	Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha	VIZ Media, Discotek Media	J.C.Staff	Manga	23 min. per ep.	PG-13 - Teens 13 or older	"616"	882	265142	4164	15150	93650	14028	13551	128763	12725	17896	23208	15579	6791	3702	1605	582	337	413		"Josei
            

             Josei"	"Adult Cast
            

             Adult Cast
            
            ,
            
             Love Polygon
            

             Love Polygon
            
            ,
            
             Visual Arts
            

             Visual Arts"		Honey and Clover	Honey and Clover	Honey and Clover		
16	Hachimitsu to Clover		Comedy, Drama, Romance, Adult Cast, Love Polygon, Visual Arts, Josei	Honey and Clover	ハチミツとクローバー	TV	24	Apr 15, 2005 to Sep 27, 2005	Spring 2005	Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha	VIZ Media, Discotek Media	J.C.Staff	Manga	23 min. per ep.	PG-13 - Teens 13 or older	"616"	882	265142	4164	15150	93650	14028	13551	128763	12725	17896	23208	15579	6791	3702	1605	582	337	413		"Josei
            

             Josei"	"Adult Cast
            

             Adult Cast
            
            ,
            
             Love Polygon
            

             Love Polygon
            
            ,
            
             Visual Arts
            

             Visual Arts"		Honey and Clover	Honey and Clover	Honey and Clover		
25	Sunabouzu		Action, Adventure, Comedy, Sci-Fi, Ecchi, Seinen	Desert Punk	砂ぼうず	TV	24	Oct 6, 2004 to Mar 30, 2005	Fall 2004	GDH, Pony Canyon, CBC Television	Funimation	Gonzo	Manga	24 min. per ep.	R - 17+ (violence & profanity)	"2266"	1588	137798	838	8200	62924	7223	9588	49863	4034	7269	14009	14913	7275	3658	1796	752	414	366		"Seinen
            

             Seinen"			Desert Punk	Desert Punk	Desert Punk		
25	Sunabouzu		Action, Adventure, Comedy, Sci-Fi, Ecchi, Seinen	Desert Punk	砂ぼうず	TV	24	Oct 6, 2004 to Mar 30, 2005	Fall 2004	GDH, Pony Canyon, CBC Television	Funimation	Gonzo	Manga	24 min. per ep.	R - 17+ (violence & profanity)	"2266"	1588	137798	838	8200	62924	7223	9588	49863	4034	7269	14009	14913	7275	3658	1796	752	414	366		"Seinen
            

             Seinen"			Desert Punk	Desert Punk	Desert Punk		
47	Akira		Action, Adventure, Horror, Sci-Fi, Supernatural, Gore, Military, Seinen	Akira	AKIRA（アキラ）	Movie	1	Jul 16, 1988	Unknown	Mainichi Broadcasting System, Kodansha, TOHO, Streamline Pictures	Funimation, Bandai Entertainment, Geneon Entertainment USA	Tokyo Movie Shinsha	Manga	2 hr. 4 min.	R+ - Mild Nudity	"408"	209	832735	13493	14596	628518	5488	3349	180784	108823	119202	135075	80436	33122	13877	6434	2573	1453	1497		"Seinen
           

            Seinen"	"Gore
           

            Gore
           
           ,
           
            Military
           

            Military"						
47	Akira		Action, Adventure, Horror, Sci-Fi, Supernatural, Gore, Military, Seinen	Akira	AKIRA（アキラ）	Movie	1	Jul 16, 1988	Unknown	Mainichi Broadcasting System, Kodansha, TOHO, Streamline Pictures	Funimation, Bandai Entertainment, Geneon Entertainment USA	Tokyo Movie Shinsha	Manga	2 hr. 4 min.	R+ - Mild Nudity	"408"	209	832735	13493	14596	628518	5488	3349	180784	108823	119202	135075	80436	33122	13877	6434	2573	1453	1497		"Seinen
           

            Seinen"	"Gore
           

            Gore
           
           ,
           
            Military
           

            Military"						
75	Soukyuu no Fafner: Dead Aggressor		Action, Drama, Sci-Fi, Mecha, Military	Fafner	蒼穹のファフナーDead Aggressor	TV	25	Jul 5, 2004 to Dec 27, 2004	Summer 2004	TV Tokyo Music, King Records	Funimation, Geneon Entertainment USA	Xebec	Original	24 min. per ep.	PG-13 - Teens 13 or older	"2861"	3083	48028	267	2786	18716	2118	2301	22107	1038	1852	3674	4300	2087	1118	493	210	104	96			"Mecha
            

             Mecha
            
            ,
            
             Military
            

             Military"						
75	Soukyuu no Fafner: Dead Aggressor		Action, Drama, Sci-Fi, Mecha, Military	Fafner	蒼穹のファフナーDead Aggressor	TV	25	Jul 5, 2004 to Dec 27, 2004	Summer 2004	TV Tokyo Music, King Records	Funimation, Geneon Entertainment USA	Xebec	Original	24 min. per ep.	PG-13 - Teens 13 or older	"2861"	3083	48028	267	2786	18716	2118	2301	22107	1038	1852	3674	4300	2087	1118	493	210	104	96			"Mecha
            

             Mecha
            
            ,
            
             Military
            

             Military"						
143	Kannazuki no Miko		Drama, Girls Love, Supernatural, Mecha, Shounen	Destiny of the Shrine Maiden	神無月の巫女	TV	12	Oct 2, 2004 to Dec 18, 2004	Fall 2004	Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment	Sentai Filmworks, Geneon Entertainment USA	TNK	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"4966"	2500	70528	717	2953	37980	2274	3444	23877	2690	2953	5140	7216	5228	3327	1819	875	508	385	"Mecha
            

             Mecha"	"Shounen
            

             Shounen"				Destiny of Shrine Maiden			
143	Kannazuki no Miko		Drama, Girls Love, Supernatural, Mecha, Shounen	Destiny of the Shrine Maiden	神無月の巫女	TV	12	Oct 2, 2004 to Dec 18, 2004	Fall 2004	Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment	Sentai Filmworks, Geneon Entertainment USA	TNK	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"4966"	2500	70528	717	2953	37980	2274	3444	23877	2690	2953	5140	7216	5228	3327	1819	875	508	385	"Mecha
            

             Mecha"	"Shounen
            

             Shounen"				Destiny of Shrine Maiden			
