anime_id,score,watching_status,watched_episodes
366,0,1,0
37869,0,1,0
530,0,1,0
232,0,1,20
1575,0,1,0
1,0,1,0
39681,0,1,4
223,0,1,0
33280,0,1,0
411,0,1,6
15451,0,1,0
31500,0,1,0
7791,0,1,0
1530,0,1,0
15051,0,1,0
36990,0,1,0
210,0,1,0
1710,0,1,0
13937,0,1,0
30,0,1,0
37430,0,1,0
13663,0,1,0
481,0,1,131
5762,0,2,3
8676,0,2,25
9117,0,2,6
11235,0,2,13
12669,0,2,6
9925,0,2,1
5081,0,2,15
6948,0,2,1
33573,0,2,13
34870,0,2,1
33950,0,2,1
14741,0,2,12
16934,0,2,1
17827,0,2,12
1535,0,2,37
28121,0,2,13
37347,0,2,12
40453,0,2,1
40064,0,2,1
40454,0,2,12
44983,0,2,1
53111,0,2,11
47164,0,2,11
32801,0,2,1
317,0,2,1
2952,0,2,1
408,0,2,1
32979,0,2,13
21273,0,2,12
29787,0,2,12
17729,0,2,13
29101,0,2,6
29093,0,2,1
31324,0,2,1
29095,0,2,10
31368,0,2,5
21855,0,2,5
37517,0,2,12
27989,0,2,13
11617,0,2,12
12729,0,2,2
934,0,2,26
1889,0,2,24
3652,0,2,5
2899,0,2,1
28351,0,2,1
12189,0,2,22
13469,0,2,1
2808,0,2,1
2883,0,2,1
5680,0,2,13
6862,0,2,1
37999,0,2,12
144,0,2,13
704,0,2,1
35860,0,2,12
37621,0,2,1
218,0,2,26
49828,0,2,12
52168,0,2,1
53603,0,2,1
53199,0,2,12
55283,0,2,1
1087,0,2,48
2458,0,2,8
2454,0,2,1
3394,0,2,1
14059,0,2,1
32281,0,2,1
9260,0,2,1
31757,0,2,1
31758,0,2,1
43793,0,2,4
33206,0,2,13
35363,0,2,1
28851,0,2,1
30831,0,2,10
32937,0,2,10
34626,0,2,1
32380,0,2,1
38040,0,2,1
32268,0,2,12
522,0,2,1
17074,0,2,26
9181,0,2,12
51179,0,2,12
55818,0,2,1
39535,0,2,11
50360,0,2,1
45576,0,2,12
2926,0,2,13
316,0,2,3
